Timestamp,kW,kWh
2025-01-01 00:00,121.82,30.455
2025-01-01 00:15,126.34,31.586
2025-01-01 00:30,114.15,28.537
2025-01-01 00:45,115.92,28.980
2025-01-01 01:00,126.58,31.645
2025-01-01 01:15,115.50,28.875
2025-01-01 01:30,124.42,31.106
2025-01-01 01:45,114.55,28.638
2025-01-01 02:00,123.36,30.840
2025-01-01 02:15,111.07,27.767
2025-01-01 02:30,126.07,31.518
2025-01-01 02:45,121.66,30.415
2025-01-01 03:00,115.81,28.951
2025-01-01 03:15,114.34,28.586
2025-01-01 03:30,120.55,30.137
2025-01-01 03:45,114.11,28.529
2025-01-01 04:00,119.78,29.945
2025-01-01 04:15,116.75,29.188
2025-01-01 04:30,111.67,27.918
2025-01-01 04:45,121.02,30.255
2025-01-01 05:00,115.41,28.853
2025-01-01 05:15,114.77,28.693
2025-01-01 05:30,124.30,31.074
2025-01-01 05:45,163.48,40.869
2025-01-01 06:00,202.78,50.696
2025-01-01 06:15,242.34,60.586
2025-01-01 06:30,296.59,74.147
2025-01-01 06:45,344.37,86.092
2025-01-01 07:00,387.99,96.997
2025-01-01 07:15,387.96,96.990
2025-01-01 07:30,373.00,93.249
2025-01-01 07:45,377.49,94.372
2025-01-01 08:00,382.01,95.504
2025-01-01 08:15,372.40,93.099
2025-01-01 08:30,387.83,96.957
2025-01-01 08:45,383.72,95.930
2025-01-01 09:00,380.37,95.091
2025-01-01 09:15,373.17,93.293
2025-01-01 09:30,381.13,95.283
2025-01-01 09:45,378.81,94.703
2025-01-01 10:00,377.07,94.266
2025-01-01 10:15,376.81,94.203
2025-01-01 10:30,376.31,94.078
2025-01-01 10:45,386.18,96.544
2025-01-01 11:00,388.89,97.223
2025-01-01 11:15,378.77,94.694
2025-01-01 11:30,376.33,94.082
2025-01-01 11:45,383.54,95.885
2025-01-01 12:00,385.15,96.287
2025-01-01 12:15,372.69,93.171
2025-01-01 12:30,385.80,96.449
2025-01-01 12:45,388.51,97.127
2025-01-01 13:00,383.77,95.942
2025-01-01 13:15,375.02,93.754
2025-01-01 13:30,373.94,93.485
2025-01-01 13:45,377.05,94.262
2025-01-01 14:00,382.32,95.580
2025-01-01 14:15,376.87,94.219
2025-01-01 14:30,378.07,94.518
2025-01-01 14:45,386.55,96.637
2025-01-01 15:00,371.17,92.793
2025-01-01 15:15,382.43,95.609
2025-01-01 15:30,387.35,96.837
2025-01-01 15:45,381.87,95.468
2025-01-01 16:00,374.31,93.578
2025-01-01 16:15,383.70,95.925
2025-01-01 16:30,376.25,94.062
2025-01-01 16:45,377.06,94.265
2025-01-01 17:00,374.98,93.744
2025-01-01 17:15,381.30,95.326
2025-01-01 17:30,373.95,93.487
2025-01-01 17:45,337.76,84.441
2025-01-01 18:00,291.44,72.859
2025-01-01 18:15,248.53,62.133
2025-01-01 18:30,204.84,51.210
2025-01-01 18:45,170.45,42.614
2025-01-01 19:00,119.91,29.979
2025-01-01 19:15,120.83,30.209
2025-01-01 19:30,115.24,28.809
2025-01-01 19:45,116.38,29.095
2025-01-01 20:00,123.05,30.762
2025-01-01 20:15,114.05,28.512
2025-01-01 20:30,116.66,29.164
2025-01-01 20:45,116.65,29.162
2025-01-01 21:00,121.40,30.349
2025-01-01 21:15,119.67,29.917
2025-01-01 21:30,123.82,30.954
2025-01-01 21:45,125.61,31.403
2025-01-01 22:00,113.77,28.444
2025-01-01 22:15,120.46,30.116
2025-01-01 22:30,127.10,31.775
2025-01-01 22:45,113.64,28.410
2025-01-01 23:00,125.54,31.384
2025-01-01 23:15,118.01,29.503
2025-01-01 23:30,128.72,32.180
2025-01-01 23:45,126.47,31.618
2025-01-02 00:00,124.39,31.096
2025-01-02 00:15,112.25,28.062
2025-01-02 00:30,120.12,30.029
2025-01-02 00:45,124.69,31.174
2025-01-02 01:00,125.69,31.422
2025-01-02 01:15,126.07,31.516
2025-01-02 01:30,121.79,30.447
2025-01-02 01:45,119.04,29.761
2025-01-02 02:00,123.26,30.814
2025-01-02 02:15,127.88,31.969
2025-01-02 02:30,116.93,29.232
2025-01-02 02:45,113.73,28.432
2025-01-02 03:00,111.36,27.840
2025-01-02 03:15,122.66,30.664
2025-01-02 03:30,128.21,32.052
2025-01-02 03:45,119.39,29.848
2025-01-02 04:00,113.61,28.403
2025-01-02 04:15,113.50,28.376
2025-01-02 04:30,116.24,29.059
2025-01-02 04:45,121.24,30.309
2025-01-02 05:00,125.28,31.321
2025-01-02 05:15,114.53,28.632
2025-01-02 05:30,120.32,30.080
2025-01-02 05:45,162.78,40.694
2025-01-02 06:00,205.32,51.329
2025-01-02 06:15,246.54,61.634
2025-01-02 06:30,293.42,73.354
2025-01-02 06:45,337.22,84.304
2025-01-02 07:00,382.65,95.663
2025-01-02 07:15,373.43,93.357
2025-01-02 07:30,373.67,93.417
2025-01-02 07:45,372.25,93.062
2025-01-02 08:00,378.75,94.687
2025-01-02 08:15,372.78,93.195
2025-01-02 08:30,372.02,93.005
2025-01-02 08:45,375.13,93.784
