Green Button Download My Data
Retail Customer,SAMPLE CUSTOMER

TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,1/1/2025,0:00,0:59,119.56,kWh,$0.00,
Electric usage,1/1/2025,1:00,1:59,120.26,kWh,$0.00,
Electric usage,1/1/2025,2:00,2:59,120.54,kWh,$0.00,
Electric usage,1/1/2025,3:00,3:59,116.20,kWh,$0.00,
Electric usage,1/1/2025,4:00,4:59,117.31,kWh,$0.00,
Electric usage,1/1/2025,5:00,5:59,129.49,kWh,$0.00,
Electric usage,1/1/2025,6:00,6:59,271.52,kWh,$0.00,
Electric usage,1/1/2025,7:00,7:59,381.61,kWh,$0.00,
Electric usage,1/1/2025,8:00,8:59,381.49,kWh,$0.00,
Electric usage,1/1/2025,9:00,9:59,378.37,kWh,$0.00,
Electric usage,1/1/2025,10:00,10:59,379.09,kWh,$0.00,
Electric usage,1/1/2025,11:00,11:59,381.88,kWh,$0.00,
Electric usage,1/1/2025,12:00,12:59,383.03,kWh,$0.00,
Electric usage,1/1/2025,13:00,13:59,377.44,kWh,$0.00,
Electric usage,1/1/2025,14:00,14:59,380.95,kWh,$0.00,
Electric usage,1/1/2025,15:00,15:59,380.71,kWh,$0.00,
Electric usage,1/1/2025,16:00,16:59,377.83,kWh,$0.00,
Electric usage,1/1/2025,17:00,17:59,367.00,kWh,$0.00,
Electric usage,1/1/2025,18:00,18:59,228.82,kWh,$0.00,
Electric usage,1/1/2025,19:00,19:59,118.09,kWh,$0.00,
Electric usage,1/1/2025,20:00,20:59,117.60,kWh,$0.00,
Electric usage,1/1/2025,21:00,21:59,122.62,kWh,$0.00,
Electric usage,1/1/2025,22:00,22:59,118.74,kWh,$0.00,
Electric usage,1/1/2025,23:00,23:59,124.69,kWh,$0.00,
Electric usage,1/2/2025,0:00,0:59,120.36,kWh,$0.00,
Electric usage,1/2/2025,1:00,1:59,123.15,kWh,$0.00,
Electric usage,1/2/2025,2:00,2:59,120.45,kWh,$0.00,
Electric usage,1/2/2025,3:00,3:59,120.40,kWh,$0.00,
Electric usage,1/2/2025,4:00,4:59,116.15,kWh,$0.00,
Electric usage,1/2/2025,5:00,5:59,130.73,kWh,$0.00,
Electric usage,1/2/2025,6:00,6:59,270.62,kWh,$0.00,
Electric usage,1/2/2025,7:00,7:59,375.50,kWh,$0.00,
Electric usage,1/2/2025,8:00,8:59,374.67,kWh,$0.00,
Electric usage,1/2/2025,9:00,9:59,383.33,kWh,$0.00,
Electric usage,1/2/2025,10:00,10:59,377.02,kWh,$0.00,
Electric usage,1/2/2025,11:00,11:59,378.89,kWh,$0.00,
Electric usage,1/2/2025,12:00,12:59,382.75,kWh,$0.00,
Electric usage,1/2/2025,13:00,13:59,381.43,kWh,$0.00,
Electric usage,1/2/2025,14:00,14:59,382.28,kWh,$0.00,
Electric usage,1/2/2025,15:00,15:59,378.42,kWh,$0.00,
Electric usage,1/2/2025,16:00,16:59,380.37,kWh,$0.00,
Electric usage,1/2/2025,17:00,17:59,371.23,kWh,$0.00,
Electric usage,1/2/2025,18:00,18:59,228.74,kWh,$0.00,
Electric usage,1/2/2025,19:00,19:59,116.55,kWh,$0.00,
Electric usage,1/2/2025,20:00,20:59,117.58,kWh,$0.00,
Electric usage,1/2/2025,21:00,21:59,119.34,kWh,$0.00,
Electric usage,1/2/2025,22:00,22:59,118.18,kWh,$0.00,
Electric usage,1/2/2025,23:00,23:59,115.86,kWh,$0.00,
Electric usage,1/3/2025,0:00,0:59,125.46,kWh,$0.00,
Electric usage,1/3/2025,1:00,1:59,120.32,kWh,$0.00,
Electric usage,1/3/2025,2:00,2:59,120.41,kWh,$0.00,
Electric usage,1/3/2025,3:00,3:59,118.48,kWh,$0.00,
Electric usage,1/3/2025,4:00,4:59,124.09,kWh,$0.00,
Electric usage,1/3/2025,5:00,5:59,131.43,kWh,$0.00,
Electric usage,1/3/2025,6:00,6:59,270.35,kWh,$0.00,
Electric usage,1/3/2025,7:00,7:59,379.91,kWh,$0.00,
Electric usage,1/3/2025,8:00,8:59,379.78,kWh,$0.00,
Electric usage,1/3/2025,9:00,9:59,382.06,kWh,$0.00,
Electric usage,1/3/2025,10:00,10:59,380.73,kWh,$0.00,
Electric usage,1/3/2025,11:00,11:59,375.42,kWh,$0.00,
Electric usage,1/3/2025,12:00,12:59,380.41,kWh,$0.00,
Electric usage,1/3/2025,13:00,13:59,376.09,kWh,$0.00,
Electric usage,1/3/2025,14:00,14:59,377.74,kWh,$0.00,
Electric usage,1/3/2025,15:00,15:59,383.95,kWh,$0.00,
Electric usage,1/3/2025,16:00,16:59,384.85,kWh,$0.00,
Electric usage,1/3/2025,17:00,17:59,368.95,kWh,$0.00,
Electric usage,1/3/2025,18:00,18:59,226.87,kWh,$0.00,
Electric usage,1/3/2025,19:00,19:59,121.82,kWh,$0.00,
Electric usage,1/3/2025,20:00,20:59,120.99,kWh,$0.00,
Electric usage,1/3/2025,21:00,21:59,123.09,kWh,$0.00,
Electric usage,1/3/2025,22:00,22:59,122.26,kWh,$0.00,
Electric usage,1/3/2025,23:00,23:59,123.84,kWh,$0.00,
Electric usage,1/4/2025,0:00,0:59,159.00,kWh,$0.00,
Electric usage,1/4/2025,1:00,1:59,117.52,kWh,$0.00,
Electric usage,1/4/2025,2:00,2:59,119.91,kWh,$0.00,
Electric usage,1/4/2025,3:00,3:59,120.45,kWh,$0.00,
Electric usage,1/4/2025,4:00,4:59,123.68,kWh,$0.00,
Electric usage,1/4/2025,5:00,5:59,124.64,kWh,$0.00,
Electric usage,1/4/2025,6:00,6:59,130.75,kWh,$0.00,
Electric usage,1/4/2025,7:00,7:59,129.84,kWh,$0.00,
Electric usage,1/4/2025,8:00,8:59,131.37,kWh,$0.00,
Electric usage,1/4/2025,9:00,9:59,141.44,kWh,$0.00,
Electric usage,1/4/2025,10:00,10:59,145.13,kWh,$0.00,
Electric usage,1/4/2025,11:00,11:59,150.36,kWh,$0.00,
Electric usage,1/4/2025,12:00,12:59,159.10,kWh,$0.00,
Electric usage,1/4/2025,13:00,13:59,161.84,kWh,$0.00,
Electric usage,1/4/2025,14:00,14:59,158.95,kWh,$0.00,
Electric usage,1/4/2025,15:00,15:59,150.58,kWh,$0.00,
Electric usage,1/4/2025,16:00,16:59,142.09,kWh,$0.00,
Electric usage,1/4/2025,17:00,17:59,134.03,kWh,$0.00,
Electric usage,1/4/2025,18:00,18:59,127.08,kWh,$0.00,
Electric usage,1/4/2025,19:00,19:59,123.58,kWh,$0.00,
Electric usage,1/4/2025,20:00,20:59,117.30,kWh,$0.00,
Electric usage,1/4/2025,21:00,21:59,119.69,kWh,$0.00,
Electric usage,1/4/2025,22:00,22:59,117.03,kWh,$0.00,
Electric usage,1/4/2025,23:00,23:59,118.32,kWh,$0.00,
Electric usage,1/5/2025,0:00,0:59,115.53,kWh,$0.00,
Electric usage,1/5/2025,1:00,1:59,118.20,kWh,$0.00,
Electric usage,1/5/2025,2:00,2:59,126.35,kWh,$0.00,
Electric usage,1/5/2025,3:00,3:59,116.40,kWh,$0.00,
Electric usage,1/5/2025,4:00,4:59,118.25,kWh,$0.00,
Electric usage,1/5/2025,5:00,5:59,121.00,kWh,$0.00,
Electric usage,1/5/2025,6:00,6:59,127.58,kWh,$0.00,
Electric usage,1/5/2025,7:00,7:59,125.81,kWh,$0.00,
Electric usage,1/5/2025,8:00,8:59,131.47,kWh,$0.00,
Electric usage,1/5/2025,9:00,9:59,135.41,kWh,$0.00,
Electric usage,1/5/2025,10:00,10:59,144.88,kWh,$0.00,
Electric usage,1/5/2025,11:00,11:59,155.16,kWh,$0.00,
Electric usage,1/5/2025,12:00,12:59,162.10,kWh,$0.00,
Electric usage,1/5/2025,13:00,13:59,158.62,kWh,$0.00,
Electric usage,1/5/2025,14:00,14:59,153.43,kWh,$0.00,
Electric usage,1/5/2025,15:00,15:59,147.13,kWh,$0.00,
Electric usage,1/5/2025,16:00,16:59,144.09,kWh,$0.00,
Electric usage,1/5/2025,17:00,17:59,134.81,kWh,$0.00,
Electric usage,1/5/2025,18:00,18:59,128.29,kWh,$0.00,
Electric usage,1/5/2025,19:00,19:59,127.26,kWh,$0.00,
Electric usage,1/5/2025,20:00,20:59,119.18,kWh,$0.00,
Electric usage,1/5/2025,21:00,21:59,120.96,kWh,$0.00,
Electric usage,1/5/2025,22:00,22:59,123.08,kWh,$0.00,
Electric usage,1/5/2025,23:00,23:59,123.13,kWh,$0.00,
Electric usage,1/6/2025,0:00,0:59,121.65,kWh,$0.00,
Electric usage,1/6/2025,1:00,1:59,121.00,kWh,$0.00,
Electric usage,1/6/2025,2:00,2:59,121.10,kWh,$0.00,
Electric usage,1/6/2025,3:00,3:59,119.68,kWh,$0.00,
Electric usage,1/6/2025,4:00,4:59,120.81,kWh,$0.00,
Electric usage,1/6/2025,5:00,5:59,128.03,kWh,$0.00,
Electric usage,1/6/2025,6:00,6:59,273.64,kWh,$0.00,
Electric usage,1/6/2025,7:00,7:59,380.06,kWh,$0.00,
Electric usage,1/6/2025,8:00,8:59,380.39,kWh,$0.00,
Electric usage,1/6/2025,9:00,9:59,381.62,kWh,$0.00,
Electric usage,1/6/2025,10:00,10:59,379.25,kWh,$0.00,
Electric usage,1/6/2025,11:00,11:59,384.47,kWh,$0.00,
Electric usage,1/6/2025,12:00,12:59,379.77,kWh,$0.00,
Electric usage,1/6/2025,13:00,13:59,383.19,kWh,$0.00,
Electric usage,1/6/2025,14:00,14:59,384.40,kWh,$0.00,
Electric usage,1/6/2025,15:00,15:59,374.72,kWh,$0.00,
Electric usage,1/6/2025,16:00,16:59,378.24,kWh,$0.00,
Electric usage,1/6/2025,17:00,17:59,367.53,kWh,$0.00,
Electric usage,1/6/2025,18:00,18:59,231.22,kWh,$0.00,
Electric usage,1/6/2025,19:00,19:59,121.22,kWh,$0.00,
Electric usage,1/6/2025,20:00,20:59,120.18,kWh,$0.00,
Electric usage,1/6/2025,21:00,21:59,118.58,kWh,$0.00,
Electric usage,1/6/2025,22:00,22:59,118.22,kWh,$0.00,
Electric usage,1/6/2025,23:00,23:59,118.79,kWh,$0.00,
Electric usage,1/7/2025,0:00,0:59,121.02,kWh,$0.00,
Electric usage,1/7/2025,1:00,1:59,120.13,kWh,$0.00,
Electric usage,1/7/2025,2:00,2:59,117.11,kWh,$0.00,
Electric usage,1/7/2025,3:00,3:59,119.76,kWh,$0.00,
Electric usage,1/7/2025,4:00,4:59,121.32,kWh,$0.00,
Electric usage,1/7/2025,5:00,5:59,128.30,kWh,$0.00,
Electric usage,1/7/2025,6:00,6:59,270.64,kWh,$0.00,
Electric usage,1/7/2025,7:00,7:59,378.66,kWh,$0.00,
Electric usage,1/7/2025,8:00,8:59,382.01,kWh,$0.00,
Electric usage,1/7/2025,9:00,9:59,382.60,kWh,$0.00,
Electric usage,1/7/2025,10:00,10:59,379.41,kWh,$0.00,
Electric usage,1/7/2025,11:00,11:59,380.80,kWh,$0.00,
Electric usage,1/7/2025,12:00,12:59,381.29,kWh,$0.00,
Electric usage,1/7/2025,13:00,13:59,382.84,kWh,$0.00,
Electric usage,1/7/2025,14:00,14:59,377.14,kWh,$0.00,
Electric usage,1/7/2025,15:00,15:59,381.71,kWh,$0.00,
