Energy Usage Report (kWh) - Service Account 8001234567

Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
1/1/2025,30.4550,31.5861,28.5367,28.9795,31.6446,28.8747,31.1058,28.6376,30.8398,27.7673,31.5180,30.4155,28.9513,28.5856,30.1365,28.5285,29.9448,29.1876,27.9185,30.2547,28.8533,28.6928,31.0738,40.8693,50.6956,60.5861,74.1468,86.0919,96.9968,96.9903,93.2492,94.3720,95.5036,93.0991,96.9569,95.9296,95.0914,93.2927,95.2826,94.7030,94.2663,94.2033,94.0784,96.5441,97.2231,94.6935,94.0817,95.8852,96.2867,93.1714,96.4488,97.1274,95.9424,93.7543,93.4855,94.2617,95.5801,94.2187,94.5183,96.6367,92.7929,95.6087,96.8367,95.4677,93.5781,95.9250,94.0617,94.2647,93.7440,95.3256,93.4874,84.4410,72.8593,62.1326,51.2100,42.6137,29.9787,30.2086,28.8093,29.0945,30.7618,28.5119,29.1640,29.1621,30.3489,29.9169,30.9542,31.4026,28.4436,30.1155,31.7753,28.4097,31.3842,29.5034,32.1802,31.6177
1/2/2025,31.0963,28.0620,30.0294,31.1736,31.4219,31.5164,30.4473,29.7611,30.8144,31.9689,29.2320,28.4322,27.8399,30.6645,32.0517,29.8481,28.4032,28.3761,29.0594,30.3094,31.3211,28.6317,30.0801,40.6940,51.3294,61.6342,73.3540,84.3042,95.6632,93.3567,93.4168,93.0618,94.6868,93.1946,93.0053,93.7837,95.2882,97.0988,95.7254,95.2196,95.1217,93.1014,93.0181,95.7746,95.2745,92.8496,94.2703,96.4990,93.6723,97.0344,95.0826,96.9591,95.3084,94.1539,96.1261,95.8427,95.2071,97.1794,94.1392,95.7556,94.4908,94.1763,94.6096,95.1479,95.5304,95.8618,94.0403,94.9399,95.5884,96.0723,93.5865,85.9782,73.2043,62.4996,52.4553,40.5759,30.9777,27.9449,28.1890,29.4391,31.5204,28.1314,28.9662,28.9635,30.5674,31.7466,28.1990,28.8291,29.0043,30.9920,29.9465,28.2409,30.8509,28.2747,27.8992,28.8307
1/3/2025,32.2067,31.5300,30.6711,31.0562,29.4415,31.2847,28.3715,31.2265,31.6667,29.9709,28.5394,30.2345,28.6795,28.8358,30.7195,30.2494,31.8992,31.1030,32.0588,29.0278,29.2182,31.1745,31.6325,39.4052,51.7005,64.0862,71.6969,82.8691,95.0392,94.9304,93.4626,96.4816,93.6719,96.1799,94.9333,94.9970,96.6276,94.6671,95.0178,95.7463,96.8052,95.7106,92.9919,95.2202,95.0560,94.7774,92.8233,92.7667,93.5745,96.0160,94.0056,96.8118,92.9552,94.9771,94.8576,93.2960,95.4278,96.4991,92.7872,93.0301,94.9406,95.2482,96.5837,97.1790,97.1021,97.0584,93.4669,97.2183,94.9602,95.8063,94.2243,83.9586,74.0341,60.9526,52.6774,39.2044,30.5440,30.6094,29.5930,31.0777,30.8286,28.8947,31.7976,29.4660,30.5903,29.8407,32.2313,30.4255,30.6484,29.7020,31.5066,30.3998,32.1444,30.8074,30.3004,30.5861
1/4/2025,51.2229,28.0230,51.8448,27.9084,28.0120,30.6078,29.5822,29.3145,31.1038,27.9909,30.4252,30.3894,30.4354,30.4576,28.4247,31.1330,32.0159,29.8318,29.4526,32.3827,31.1549,32.1970,32.3180,28.9676,32.8293,32.9374,31.6394,33.3409,33.4376,33.5990,31.9188,30.8887,34.4928,32.0266,32.6369,32.2091,35.9103,34.7607,35.4563,35.3079,35.8622,37.2909,36.6559,35.3228,37.4770,36.2708,39.4957,37.1121,40.3583,40.6300,38.8666,39.2463,40.5217,41.3870,38.5094,41.4234,41.4974,37.7026,39.3293,40.4170,37.4497,39.3564,35.5987,38.1781,36.2206,36.0025,35.1798,34.6881,35.8404,32.4295,32.7425,33.0180,31.7037,31.4248,33.5348,30.4157,31.3196,32.1714,30.5453,29.5432,28.5977,28.5069,29.7147,30.4770,29.7415,31.2447,29.4990,29.2040,29.0489,31.6361,28.3472,27.9974,30.3766,30.5675,28.6257,28.7543
1/5/2025,29.7804,27.8454,27.9879,29.9210,27.8271,31.2000,28.3166,30.8600,32.1534,31.7594,30.9508,31.4817,27.7961,31.8872,28.8358,27.8846,30.8831,28.3007,31.0268,28.0443,29.0542,29.7676,29.4239,32.7527,29.3323,32.1927,32.8741,33.1776,32.5614,30.9646,29.9229,32.3599,33.2047,30.8929,34.0774,33.2947,32.8708,32.7902,33.7093,36.0403,36.3287,36.1435,36.7471,35.6610,38.6805,40.1366,38.7601,37.5794,40.1488,38.3183,41.7614,41.8731,38.1857,41.6103,39.8313,38.9897,38.8085,37.1969,39.9087,37.5209,37.4140,36.2306,38.0078,35.4774,37.4041,36.6110,34.8518,35.2208,33.2146,35.3429,33.9938,32.2590,34.6622,31.7623,30.9269,30.9378,32.0037,31.4139,32.6226,31.2223,30.1559,29.4234,30.9164,28.6892,28.7931,28.7552,32.2910,31.1178,31.5088,31.5471,28.9671,31.0537,31.7979,28.9155,30.6322,31.7830
1/6/2025,30.5727,30.0559,29.5831,31.4361,31.6913,31.5080,28.2840,29.5148,31.6467,29.4007,27.9498,32.0988,30.3048,28.6337,31.6994,29.0446,30.7263,29.1205,28.7637,32.1972,29.4894,28.5382,29.8237,40.1745,51.5575,63.2198,74.1604,84.6979,94.2375,96.6811,95.1400,94.0031,94.9953,96.3137,93.8104,95.2713,96.5264,93.5179,96.4662,95.1052,93.9747,96.3796,93.3404,95.5541,96.0500,94.9714,96.8535,96.5949,93.6284,95.0293,93.9998,97.1094,97.1499,96.3297,94.1002,95.6073,96.1731,96.4038,96.3659,95.4539,94.4359,92.9383,93.6506,93.6944,93.7457,94.0889,93.4087,96.9951,94.2950,96.7918,93.7650,82.6822,75.1265,63.8599,52.5460,39.6866,29.6037,32.0689,30.2808,29.2667,32.0111,28.5776,30.0362,29.5511,28.0367,30.5226,28.3362,31.6819,28.0940,28.6233,31.9732,29.5341,29.2482,28.7796,30.8476,29.9136
1/7/2025,30.1589,31.7768,30.6827,28.4055,32.1437,28.7982,29.9139,29.2790,29.7651,29.9787,28.3497,29.0193,29.7026,31.7005,29.6245,28.7356,28.6443,31.4614,30.5082,30.7048,28.8909,28.7713,29.8224,40.8141,50.4919,61.6897,74.5985,83.8596,95.7290,93.1469,93.3190,96.4696,95.2750,96.2110,94.9739,95.5487,93.8223,96.9285,96.2121,95.6377,93.5787,96.8531,94.9271,94.0553,96.6818,94.6226,96.6901,92.8061,96.8855,93.2299,94.6674,96.5099,95.4704,96.9531,95.4925,94.9215,96.0425,94.1729,93.2105,93.7165,95.2407,96.9270,96.0769,93.4645,92.8427,93.0343,93.0976,94.9555,93.1867,97.0829,94.8731,82.3009,73.6727,60.9742,49.5728,41.8610,29.4737,29.5735,28.2748,29.7462,29.5701,28.2070,30.3726,29.8305,29.6115,31.3359,28.5586,31.9741,29.6811,30.8963,28.5835,31.9214,31.9779,31.8253,29.5449,29.3825
1/8/2025,32.1326,29.7882,28.4306,31.3511,27.8822,31.1106,29.8624,31.0391,28.5285,29.6874,32.1088,30.2834,29.7802,31.7268,30.3076,28.9733,31.0016,28.1963,30.1718,32.2286,30.1521,29.8462,28.8780,39.9126,53.8671,62.3678,71.8386,83.8445,95.7251,94.5765,95.2203,92.9722,93.2800,96.2554,95.0350,94.1254,96.1225,96.9948,92.9594,96.6864,93.7732,96.3984,96.1733,94.1172,93.6924,97.2222,94.3997,93.5940,93.8206,93.9171,96.0217,96.7667,95.8862,96.7619,93.4394,95.6890,93.1338,97.2239,94.4226,93.5133,93.2804,94.1970,95.8837,94.3096,95.5502,95.9502,92.8487,94.9030,93.1650,95.4688,95.4292,86.1623,71.1134,60.7586,53.2825,38.5973,31.6062,28.0830,29.6132,30.7415,29.2677,31.8803,27.9057,29.3236,31.1570,30.0072,28.5400,32.1472,28.8093,31.7555,30.2551,28.1790,32.0892,31.0573,30.0671,28.3775
1/9/2025,29.3759,28.5139,28.1328,28.3933,31.3947,30.6233,28.2489,27.9471,28.8310,28.8925,30.2231,30.7665,29.4761,29.8609,30.5872,28.5243,31.8874,28.7972,30.2323,29.9401,28.0565,29.7106,31.9957,41.6521,52.2534,60.3685,74.7351,84.9759,95.7390,96.7694,96.4166,93.8458,95.3575,93.6227,96.7977,95.2568,95.5735,94.0012,93.1856,93.6051,93.4629,96.1137,94.1864,95.4595,95.9988,95.5123,93.3515,92.9596,94.3937,94.1807,94.9261,96.0082,97.1875,96.3208,96.9236,93.4280,96.8163,94.5463,94.7232,94.7908,95.0519,96.7975,93.9378,95.1708,95.9643,95.7840,96.9045,93.6917,94.1841,96.3345,96.6991,82.1139,75.1403,63.2381,52.3525,40.6496,28.9585,28.2667,31.0183,31.1383,29.5757,28.2676,29.2107,32.2185,31.4266,31.7690,30.6522,32.0883,28.0195,28.6649,31.5941,27.9666,32.2116,31.6994,29.4672,32.0357
1/10/2025,28.5767,28.0577,30.2387,30.2109,29.6013,31.0827,30.7643,30.1157,30.2486,28.1796,28.3075,28.5405,28.2336,29.5381,30.8728,31.5710,28.2632,32.0072,28.6280,29.2473,30.7502,28.9983,29.4920,39.1947,50.2782,60.7810,72.5592,84.5241,95.7529,93.3372,95.9971,97.1450,94.3672,93.3577,93.7832,93.3224,94.0771,95.9722,93.7642,93.9644,94.4055,93.5658,96.1427,97.1978,94.7312,95.8177,94.6785,92.8882,95.4969,97.1918,96.8182,97.1563,94.0056,93.1187,94.8971,95.8489,93.6645,95.4803,96.4574,94.9129,94.6983,93.4555,93.1338,95.2749,95.8230,93.3125,93.3661,93.3299,96.2328,95.6639,97.0381,82.8857,72.1492,60.3050,51.2276,42.9013,30.5726,28.1950,28.2120,27.7748,29.8263,32.0788,31.1589,28.6030,31.3571,30.8171,29.1809,29.9285,32.1693,30.1702,27.7742,27.8698,31.6922,31.7760,28.7763,27.8110
